,Name,Geography Type,Year,Resident Population,Overseas population included,Population used for apportionment,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
285,Alabama,State,1960,3266740,0,3266740,6.7,64.5,28.0,8.0,-1.0,"408,343"
286,Alaska,State,1960,226167,0,226167,75.8,0.4,52.0,1.0,1.0,"226,167"
287,Arizona,State,1960,1302161,0,1302161,73.7,11.5,43.0,3.0,1.0,"434,054"
288,Arkansas,State,1960,1786272,0,1786272,-6.5,34.3,36.0,4.0,-2.0,"446,568"
289,California,State,1960,15717204,0,15717204,48.5,100.9,15.0,38.0,8.0,"413,611"
290,Colorado,State,1960,1753947,0,1753947,32.4,16.9,42.0,4.0,0.0,"438,487"
291,Connecticut,State,1960,2535234,0,2535234,26.3,523.6,6.0,6.0,0.0,"422,539"
292,Delaware,State,1960,446292,0,446292,40.3,229,11.0,1.0,0.0,"446,292"
293,District of Columbia,State,1960,763956,0,763956,-4.8,"12,513.90",1.0,,,
294,Florida,State,1960,4951560,0,4951560,78.7,92.3,19.0,12.0,4.0,"412,630"
295,Georgia,State,1960,3943116,0,3943116,14.5,68.6,26.0,10.0,0.0,"394,312"
296,Hawaii,State,1960,632772,0,632772,26.6,98.5,17.0,2.0,2.0,"316,386"
297,Idaho,State,1960,667191,0,667191,13.3,8.1,47.0,2.0,0.0,"333,596"
298,Illinois,State,1960,10081158,0,10081158,15.7,181.6,12.0,24.0,-1.0,"420,048"
299,Indiana,State,1960,4662498,0,4662498,18.5,130.1,14.0,11.0,0.0,"423,863"
300,Iowa,State,1960,2757537,0,2757537,5.2,49.4,30.0,7.0,-1.0,"393,934"
301,Kansas,State,1960,2178611,0,2178611,14.3,26.6,39.0,5.0,-1.0,"435,722"
302,Kentucky,State,1960,3038156,0,3038156,3.2,76.9,23.0,7.0,-1.0,"434,022"
303,Louisiana,State,1960,3257022,0,3257022,21.4,75.4,24.0,8.0,0.0,"407,128"
304,Maine,State,1960,969265,0,969265,6.1,31.4,38.0,2.0,-1.0,"484,633"
305,Maryland,State,1960,3100689,0,3100689,32.3,319.4,8.0,8.0,1.0,"387,586"
306,Massachusetts,State,1960,5148578,0,5148578,9.8,660.1,5.0,12.0,-2.0,"429,048"
307,Michigan,State,1960,7823194,0,7823194,22.8,138.4,13.0,19.0,1.0,"411,747"
308,Minnesota,State,1960,3413864,0,3413864,14.5,42.9,32.0,8.0,-1.0,"426,733"
309,Mississippi,State,1960,2178141,0,2178141,0.0,46.4,31.0,5.0,-1.0,"435,628"
310,Missouri,State,1960,4319813,0,4319813,9.2,62.8,29.0,10.0,-1.0,"431,981"
311,Montana,State,1960,674767,0,674767,14.2,4.6,49.0,2.0,0.0,"337,384"
312,Nebraska,State,1960,1411330,0,1411330,6.5,18.4,40.0,3.0,-1.0,"470,443"
313,Nevada,State,1960,285278,0,285278,78.2,2.6,51.0,1.0,0.0,"285,278"
314,New Hampshire,State,1960,606921,0,606921,13.8,67.8,27.0,2.0,0.0,"303,461"
315,New Jersey,State,1960,6066782,0,6066782,25.5,824.9,3.0,15.0,1.0,"404,452"
316,New Mexico,State,1960,951023,0,951023,39.6,7.8,48.0,2.0,0.0,"475,512"
317,New York,State,1960,16782304,0,16782304,13.2,356.1,7.0,41.0,-2.0,"409,324"
318,North Carolina,State,1960,4556155,0,4556155,12.2,93.7,18.0,11.0,-1.0,"414,196"
319,North Dakota,State,1960,632446,0,632446,2.1,9.2,45.0,2.0,0.0,"316,223"
320,Ohio,State,1960,9706397,0,9706397,22.1,237.5,10.0,24.0,1.0,"404,433"
321,Oklahoma,State,1960,2328284,0,2328284,4.3,33.9,37.0,6.0,0.0,"388,047"
322,Oregon,State,1960,1768687,0,1768687,16.3,18.4,40.0,4.0,0.0,"442,172"
323,Pennsylvania,State,1960,11319366,0,11319366,7.8,253,9.0,27.0,-3.0,"419,236"
325,Rhode Island,State,1960,859488,0,859488,8.5,831.4,2.0,2.0,0.0,"429,744"
326,South Carolina,State,1960,2382594,0,2382594,12.5,79.3,21.0,6.0,0.0,"397,099"
327,South Dakota,State,1960,680514,0,680514,4.3,9,46.0,2.0,0.0,"340,257"
328,Tennessee,State,1960,3567089,0,3567089,8.4,86.5,20.0,9.0,0.0,"396,343"
329,Texas,State,1960,9579677,0,9579677,24.2,36.7,35.0,23.0,1.0,"416,508"
330,Utah,State,1960,890627,0,890627,29.3,10.8,44.0,2.0,0.0,"445,314"
331,Vermont,State,1960,389881,0,389881,3.2,42.3,34.0,1.0,0.0,"389,881"
332,Virginia,State,1960,3966949,0,3966949,19.5,100.5,16.0,10.0,0.0,"396,695"
333,Washington,State,1960,2853214,0,2853214,19.9,42.9,32.0,7.0,0.0,"407,602"
334,West Virginia,State,1960,1860421,0,1860421,-7.2,77.4,22.0,5.0,-1.0,"372,084"
335,Wisconsin,State,1960,3951777,0,3951777,15.1,73,25.0,10.0,0.0,"395,178"
336,Wyoming,State,1960,330066,0,330066,13.6,3.4,50.0,1.0,0.0,"330,066"
342,Alabama,State,1970,3444165,31720,3475885,5.4,68,28.0,7.0,-1.0,"496,555"
343,Alaska,State,1970,300382,3685,304067,32.8,0.5,52.0,1.0,0.0,"304,067"
344,Arizona,State,1970,1770900,16720,1787620,36.0,15.6,43.0,4.0,1.0,"446,905"
345,Arkansas,State,1970,1923295,19008,1942303,7.7,37,37.0,4.0,0.0,"485,576"
346,California,State,1970,19953134,145729,20098863,27.0,128.1,15.0,43.0,5.0,"467,415"
347,Colorado,State,1970,2207259,19512,2226771,25.8,21.3,41.0,5.0,1.0,"445,354"
348,Connecticut,State,1970,3031709,18984,3050693,19.6,626.1,6.0,6.0,0.0,"508,449"
349,Delaware,State,1970,548104,3824,551928,22.8,281.3,9.0,1.0,0.0,"551,928"
350,District of Columbia,State,1970,756510,0,756510,-1.0,"12,392.00",1.0,,,
351,Florida,State,1970,6789443,66259,6855702,37.1,126.6,16.0,15.0,3.0,"457,047"
352,Georgia,State,1970,4589575,37731,4627306,16.4,79.8,26.0,10.0,0.0,"462,731"
353,Hawaii,State,1970,768561,16340,784901,21.5,119.7,17.0,2.0,0.0,"392,451"
354,Idaho,State,1970,712567,7354,719921,6.8,8.6,47.0,2.0,0.0,"359,961"
355,Illinois,State,1970,11113976,70344,11184320,10.2,200.2,12.0,24.0,0.0,"466,013"
356,Indiana,State,1970,5193669,34487,5228156,11.4,145,14.0,11.0,0.0,"475,287"
357,Iowa,State,1970,2824376,22544,2846920,2.4,50.6,31.0,6.0,-1.0,"474,487"
358,Kansas,State,1970,2246578,19268,2265846,3.1,27.5,39.0,5.0,0.0,"453,169"
359,Kentucky,State,1970,3218706,27775,3246481,5.9,81.5,25.0,7.0,0.0,"463,783"
360,Louisiana,State,1970,3641306,30702,3672008,11.8,84.3,22.0,8.0,0.0,"459,001"
361,Maine,State,1970,992048,14272,1006320,2.4,32.2,38.0,2.0,0.0,"503,160"
362,Maryland,State,1970,3922399,31299,3953698,26.5,404.1,7.0,8.0,0.0,"494,212"
