,Name,Geography Type,Year,Resident Population,Overseas population included,Population used for apportionment,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
0,Alabama,State,1910,2138093,0,2138093,16.9,42.2,25.0,10.0,1.0,"213,809"
1,Alaska,State,1910,64356,0,64356,1.2,0.1,52.0,,,
2,Arizona,State,1910,204354,0,204354,66.2,1.8,49.0,,,
3,Arkansas,State,1910,1574449,0,1574449,20.0,30.3,30.0,7.0,0.0,"224,921"
4,California,State,1910,2377549,0,2377549,60.1,15.3,38.0,11.0,3.0,"216,051"
5,Colorado,State,1910,799024,0,799024,48.0,7.7,42.0,4.0,1.0,"199,643"
6,Connecticut,State,1910,1114756,0,1114756,22.7,230.2,6.0,5.0,0.0,"222,951"
7,Delaware,State,1910,202322,0,202322,9.5,103.8,11.0,1.0,0.0,"202,322"
8,District of Columbia,State,1910,331069,0,331069,18.8,"5,423.10",1.0,,,
9,Florida,State,1910,752619,0,752619,42.4,14,40.0,4.0,1.0,"188,155"
10,Georgia,State,1910,2609121,0,2609121,17.7,45.4,23.0,12.0,1.0,"217,427"
11,Hawaii,State,1910,191909,0,191909,24.6,29.9,31.0,,,
12,Idaho,State,1910,325594,0,325594,101.3,3.9,46.0,2.0,1.0,"161,720"
13,Illinois,State,1910,5638591,0,5638591,16.9,101.6,12.0,27.0,2.0,"208,837"
14,Indiana,State,1910,2700876,0,2700876,7.3,75.4,13.0,13.0,0.0,"207,760"
15,Iowa,State,1910,2224771,0,2224771,-0.3,39.8,26.0,11.0,0.0,"202,252"
16,Kansas,State,1910,1690949,0,1690949,15.0,20.7,35.0,8.0,0.0,"211,369"
17,Kentucky,State,1910,2289905,0,2289905,6.6,58,14.0,11.0,0.0,"208,173"
18,Louisiana,State,1910,1656388,0,1656388,19.9,38.3,29.0,8.0,1.0,"207,049"
19,Maine,State,1910,742371,0,742371,6.9,24.1,33.0,4.0,0.0,"185,593"
20,Maryland,State,1910,1295346,0,1295346,9.0,133.4,9.0,6.0,0.0,"215,891"
21,Massachusetts,State,1910,3366416,0,3366416,20.0,431.6,3.0,16.0,2.0,"210,401"
22,Michigan,State,1910,2810173,0,2810173,16.1,49.7,19.0,13.0,1.0,"216,167"
23,Minnesota,State,1910,2075708,0,2075708,18.5,26.1,32.0,10.0,1.0,"207,438"
